term,crn,subject,course_number,title,unit_value,credits,instruction_mode,days,start_time,end_time,additional_days,additional_time,seats_available,instructor
202680,80122,AMES,101.00,Intro Asian & Mid East Studies,0.5,4.0,,T,19:00,22:00,,,12,Carter P
202680,80564,AMES,291.00,ST: Intro to Southeast Asia,0.5,4.0,,MWF,11:10,12:00,,,15,Novak R
202680,80565,AMST,140.00,"Prisons, Policing, & Amer Cult",0.5,4.0,,WF,08:40,10:00,,,20,Rufo J
202680,80566,AMST,291.00,ST: PENDING CPC APPROVAL,0.5,4.0,,T,13:10,16:00,,,15,Gourrier F
202680,80657,AMST,302D.00,The History of Jazz,0.5,4.0,,M,19:00,22:00,,,7,Heuchemer D
202680,80567,AMST,331.00,"Visions of ""America""",0.5,4.0,,TR,09:40,11:00,,,15,DePascuale J
202680,80568,AMST,340.00,Un-American Studies,0.5,4.0,,W,19:00,22:00,,,12,Rufo J
202680,80592,AMST,378D.00,Topics in American Art,0.5,4.0,,T,13:10,16:00,,,6,Porter A
202680,80569,AMST,400.00,Senior Sem American Studies,0.5,4.0,,F,13:10,16:00,,,10,Rufo J
202680,80053,AMST,497Y.00,Senior Honors,0.5,4.0,,,,,,,10,Powers N
202680,80371,ANTH,111.01,Intro Biological Anthropology,0.5,4.0,,MWF,09:10,10:00,,,24,Hardy B
202680,80372,ANTH,111.02,Intro Biological Anthropology,0.5,4.0,,MWF,10:10,11:00,,,24,Murphy K
202680,80373,ANTH,112.00,Introduction to Archaeology,0.5,4.0,,MWF,09:10,10:00,,,24,Gallareta Cervera T
202680,80374,ANTH,113.01,Intr to Cultural Anthropology,0.5,4.0,,TR,13:10,14:30,,,20,Pack S
202680,80375,ANTH,113.02,Intr to Cultural Anthropology,0.5,4.0,,MWF,12:10,13:00,,,20,Gallareta Cervera T
202680,80376,ANTH,206D.00,Seminar in Ethnomusicology,0.5,4.0,,TR,13:10,14:30,,,7,Mendonca M
202680,80378,ANTH,291.00,ST:Hyphenat Asian-Amer Identit,0.5,4.0,,M,13:10,16:00,,,15,Pack S
202680,80379,ANTH,320.00,Anthropology of Food,0.5,4.0,,F,13:10,16:00,,,15,Murphy K
202680,80380,ANTH,323.00,Bioarchlgy Sub-Saharan Africa,0.5,4.0,,W,13:10,16:00,,,15,Hardy B
202680,80381,ANTH,465.00,Hist Anthropological Thought,0.5,4.0,,TR,09:40,11:00,,,15,Novotny C
202680,80658,ANTH,478.00,Campus Archaeology,0.5,4.0,,M,13:10,16:00,,,12,Gallareta Cervera T
202680,80054,ANTH,497.00,Senior Honors,0.5,4.0,,,,,,,5,Novotny C
202680,80116,ARBC,111Y.00,Intensive Intro Arabic,0.75,6.0,,MWF,13:10,14:00,T,1310-1430,18,Carter P
202680,80118,ARBC,213Y.00,Intermediate Arabic I,0.5,4.0,,MWF,13:10,14:00,,,12,Sadek R
202680,80121,ARBC,321.00,Advanced Arabic I,0.5,4.0,,MWF,14:10,15:00,,,6,Sadek R
202680,80336,ARHS,110.00,Intro Western Art:Ancient-Med,0.5,4.0,,TR,08:10,09:30,,,28,Hostetler B
202680,80337,ARHS,111.00,Intro Western Art:Ren-Contemp,0.5,4.0,,WF,08:40,10:00,,,28,Calvin K
202680,80338,ARHS,114.00,Introduction to Asian Art,0.5,4.0,,MWF,08:10,09:00,,,25,Blick S
202680,80339,ARHS,220.00,Greek Art,0.5,4.0,,TR,13:10,14:30,,,22,Hostetler B
202680,80340,ARHS,234.00,Romanesque and Gothic Art,0.5,4.0,,MWF,10:10,11:00,,,22,Blick S
202680,80342,ARHS,245.00,Contemporary Art and Society,0.5,4.0,,TR,09:40,11:00,,,22,Porter A
202680,80343,ARHS,378D.00,Topics in American Art,0.5,4.0,,T,13:10,16:00,,,6,Porter A
202680,80344,ARHS,480.00,Senior Seminar,0.5,4.0,,R,13:10,16:00,,,15,Calvin K
202680,80055,ARHS,497.00,Senior Honors,0.5,4.0,,,,,,,5,Porter A
202680,80550,ARTS,102.01,Drawing I,0.5,4.0,,MWF,10:10,12:00,,,12,Hill C
202680,80551,ARTS,102.02,Drawing I,0.5,4.0,,MWF,13:10,15:00,,,12,Warndorf N
202680,80552,ARTS,104.00,3D Design,0.5,4.0,,MWF,09:10,11:00,,,12,Ishimura M
202680,80553,ARTS,105.00,Design Foundations,0.5,4.0,,TR,08:10,11:00,,,12,Oehmke A
202680,80554,ARTS,106.00,Photography I,0.5,4.0,,MWF,13:10,15:00,,,12,Zeller E
202680,80555,ARTS,107.00,Digital Imaging,0.5,4.0,,TR,08:10,11:00,,,12,Johnston J
202680,80556,ARTS,109.00,Creative Coding,0.5,4.0,,MWF,09:10,11:00,,,12,Zeller E
