TERM,CRN,SUBJ,NUM,TITLE,UNIT,CRED,INSTR_MODE,DAYS,TIME,DAYS.1,ADDTL_TIM,P,LMT,ENR,INSTRUCTOR
202680,80564,AMES,291.00,ST: Intro to Southeast Asia,.50,4,,MWF,1110-1200,,-,,15,,"Novak,R,,"
202680,80565,AMST,140.00,"Prisons, Policing, & Amer Cult",.50,4,,WF,0840-1000,,-,,20,,"Rufo,J,,"
202680,80566,AMST,291.00,ST: PENDING CPC APPROVAL,.50,4,,T,1310-1600,,-,,15,,"Gourrier,F,,"
202680,80657,AMST,302D.00,The History of Jazz,.50,4,,M,1900-2200,,-,,7,,"Heuchemer,D,,"
202680,80567,AMST,331.00,"Visions of ""America""",.50,4,,TR,0940-1100,,-,,15,,"DePascuale,J,,"
202680,80568,AMST,340.00,Un-American Studies,.50,4,,W,1900-2200,,-,,12,,"Rufo,J,,"
202680,80592,AMST,378D.00,Topics in American Art,.50,4,,T,1310-1600,,-,,6,,"Porter,A,,"
202680,80569,AMST,400.00,Senior Sem American Studies,.50,4,,F,1310-1600,,-,,10,,"Rufo,J,,"
202680,80053,AMST,497Y.00,Senior Honors,.50,4,,,-,,-,GP,10,,"Powers,N,,"
202680,80371,ANTH,111.01,Intro Biological Anthropology,.50,4,,MWF,0910-1000,,-,,24,,"Hardy,B,,"
202680,80372,ANTH,111.02,Intro Biological Anthropology,.50,4,,MWF,1010-1100,,-,,24,,"Murphy,K,,"
202680,80373,ANTH,112.00,Introduction to Archaeology,.50,4,,MWF,0910-1000,,-,,24,,"Gallareta Cervera,T,,"
202680,80374,ANTH,113.01,Intr to Cultural Anthropology,.50,4,,TR,1310-1430,,-,,20,,"Pack,S,,"
202680,80375,ANTH,113.02,Intr to Cultural Anthropology,.50,4,,MWF,1210-1300,,-,,20,,"Gallareta Cervera,T,,"
202680,80376,ANTH,206D.00,Seminar in Ethnomusicology,.50,4,,TR,1310-1430,,-,,7,,"Mendonca,M,,"
202680,80378,ANTH,291.00,ST:Hyphenat Asian-Amer Identit,.50,4,,M,1310-1600,,-,,15,,"Pack,S,,"
202680,80379,ANTH,320.00,Anthropology of Food,.50,4,,F,1310-1600,,-,PI,15,,"Murphy,K,,"
202680,80380,ANTH,323.00,Bioarchlgy Sub-Saharan Africa,.50,4,,W,1310-1600,,-,PI,15,,"Hardy,B,,"
202680,80381,ANTH,465.00,Hist Anthropological Thought,.50,4,,TR,0940-1100,,-,PI,15,,"Novotny,C,,"
202680,80658,ANTH,478.00,Campus Archaeology,.50,4,,M,1310-1600,,-,PI,12,,"Gallareta Cervera,T,,"
202680,80054,ANTH,497.00,Senior Honors,.50,4,,,-,,-,GP,5,,"Novotny,C,,"
202680,80116,ARBC,111Y.00,Intensive Intro Arabic,.75,6,,MWF,1310-1400,T,1310-1430,,18,,"Carter,P,,"
202680,80118,ARBC,213Y.00,Intermediate Arabic I,.50,4,,MWF,1310-1400,,-,,12,,"Sadek,R,,"
202680,80121,ARBC,321.00,Advanced Arabic I,.50,4,,MWF,1410-1500,,-,,6,,"Sadek,R,,"
202680,80336,ARHS,110.00,Intro Western Art:Ancient-Med,.50,4,,TR,0810-0930,,-,,28,,"Hostetler,B,,"
202680,80337,ARHS,111.00,Intro Western Art:Ren-Contemp,.50,4,,WF,0840-1000,,-,,28,,"Calvin,K,,"
202680,80338,ARHS,114.00,Introduction to Asian Art,.50,4,,MWF,0810-0900,,-,,25,,"Blick,S,,"
202680,80339,ARHS,220.00,Greek Art,.50,4,,TR,1310-1430,,-,,22,,"Hostetler,B,,"
202680,80340,ARHS,234.00,Romanesque and Gothic Art,.50,4,,MWF,1010-1100,,-,,22,,"Blick,S,,"
202680,80342,ARHS,245.00,Contemporary Art and Society,.50,4,,TR,0940-1100,,-,,22,,"Porter,A,,"
202680,80343,ARHS,378D.00,Topics in American Art,.50,4,,T,1310-1600,,-,,6,,"Porter,A,,"
202680,80344,ARHS,480.00,Senior Seminar,.50,4,,R,1310-1600,,-,,15,,"Calvin,K,,"
202680,80055,ARHS,497.00,Senior Honors,.50,4,,,-,,-,GP,5,,"Porter,A,,"
202680,80550,ARTS,102.01,Drawing I,.50,4,,MWF,1010-1200,,-,,12,,"Hill,C,,"
202680,80551,ARTS,102.02,Drawing I,.50,4,,MWF,1310-1500,,-,,12,,"Warndorf,N,,"
202680,80552,ARTS,104.00,3D Design,.50,4,,MWF,0910-1100,,-,,12,,"Ishimura,M,,"
202680,80553,ARTS,105.00,Design Foundations,.50,4,,TR,0810-1100,,-,,12,,"Oehmke,A,,"
202680,80554,ARTS,106.00,Photography I,.50,4,,MWF,1310-1500,,-,,12,,"Zeller,E,,"
202680,80555,ARTS,107.00,Digital Imaging,.50,4,,TR,0810-1100,,-,,12,,"Johnston,J,,"
202680,80556,ARTS,109.00,Creative Coding,.50,4,,MWF,0910-1100,,-,,12,,"Zeller,E,,"
202680,80557,ARTS,250.00,Fundamentals of Painting,.50,4,,MWF,1310-1500,,-,PI,12,,"Hill,C,,"
202680,80559,ARTS,291.02,ST: Japanese Craft and Art,.50,4,,MWF,1210-1400,,-,,12,,"Ishimura,M,,"
202680,80560,ARTS,345.00,Printmaking,.50,4,,MWF,0910-1100,,-,,12,,"Warndorf,N,,"
202680,80561,ARTS,360.00,Installation Art,.50,4,,TR,1310-1600,,-,,12,,"Johnston,J,,"
202680,80562,ARTS,480.01,Advanced Studio,.50,4,,WF,1410-1530,,-,PI,14,,"Ishimura,M,,"
202680,80563,ARTS,480.02,Advanced Studio,.50,4,,MR,1900-2020,,-,PI,14,,"Oehmke,A,,"
